ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,years,Lee2011
posterior-1,STATE_21711000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-2,STATE_15648000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-3,STATE_8076000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-4,STATE_25098000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-5,STATE_6420000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-6,STATE_27690000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-7,STATE_22161000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-8,STATE_29673000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-9,STATE_9393000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-10,STATE_26820000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-11,STATE_8973000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-12,STATE_13527000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-13,STATE_8577000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-14,STATE_19101000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-15,STATE_19734000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-16,STATE_7194000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-17,STATE_18120000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-18,STATE_6939000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-19,STATE_18948000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-20,STATE_25419000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-21,STATE_22428000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-22,STATE_24507000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-23,STATE_22971000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-24,STATE_25041000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-25,STATE_21240000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-26,STATE_6753000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-27,STATE_23211000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-28,STATE_28767000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-29,STATE_11043000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-30,STATE_18126000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-31,STATE_6552000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-32,STATE_23703000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-33,STATE_28017000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-34,STATE_20655000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-35,STATE_19719000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-36,STATE_18930000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-37,STATE_20046000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-38,STATE_24873000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-39,STATE_28416000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-40,STATE_23580000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-41,STATE_28014000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-42,STATE_8268000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-43,STATE_20844000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-44,STATE_14241000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-45,STATE_6729000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-46,STATE_29088000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-47,STATE_25857000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-48,STATE_14727000,posterior.trees,true,sample,bayesian,years,Lee2011
posterior-49,STATE_20232000,posterior.trees,true,sample,bayesian,years,Lee2011
